transaction_date,ticker,executive,executive_title,security_type,acquisition_or_disposal,shares,share_price
2024-08-22,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,A,575072.0,
2024-08-21,PLTR,"SANKAR, SHYAM",See Remarks,Class B Common Stock,D,80691.0,0.0
2024-08-21,PLTR,"SANKAR, SHYAM",See Remarks,Class A Common Stock,D,80691.0,32.2589
2024-08-21,PLTR,"SANKAR, SHYAM",See Remarks,Class A Common Stock,A,80691.0,
2024-08-21,PLTR,"GLAZER, DAVID A.",See Remarks,Class A Common Stock,D,41969.0,32.2589
2024-08-21,PLTR,"TAYLOR, RYAN D.",See Remarks,Class A Common Stock,D,91183.0,32.3166
2024-08-21,PLTR,"PLANISHEK, HEATHER A.",See Remarks,Class A Common Stock,D,10594.0,32.2589
2024-08-21,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,D,192878.0,32.2589
2024-08-21,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,A,192878.0,
2024-08-21,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class B Common Stock,D,192878.0,0.0
2024-08-21,PLTR,"TAYLOR, RYAN D.",See Remarks,Class A Common Stock,D,47851.0,32.2589
2024-08-21,PLTR,"COHEN, STEPHEN ANDREW","Director, See Remarks",Class A Common Stock,D,166329.0,32.2589
2024-08-21,PLTR,"COHEN, STEPHEN ANDREW","Director, See Remarks",Class B Common Stock,D,166329.0,0.0
2024-08-21,PLTR,"COHEN, STEPHEN ANDREW","Director, See Remarks",Class A Common Stock,A,166329.0,
2024-08-20,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class B Common Stock,A,877500.0,0.0
2024-08-20,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,D,690.0,32.666
2024-08-20,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,D,206360.0,32.2484
2024-08-20,PLTR,"PLANISHEK, HEATHER A.",See Remarks,Class A Common Stock,D,11335.0,32.2484
2024-08-20,PLTR,"COHEN, STEPHEN ANDREW","Director, See Remarks",Class A Common Stock,D,595.0,32.666
2024-08-20,PLTR,"COHEN, STEPHEN ANDREW","Director, See Remarks",Restricted Stock Units,D,675000.0,0.0
2024-08-20,PLTR,"COHEN, STEPHEN ANDREW","Director, See Remarks",Class B Common Stock,A,675000.0,0.0
2024-08-20,PLTR,"COHEN, STEPHEN ANDREW","Director, See Remarks",Class B Common Stock,D,178551.0,0.0
2024-08-20,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class B Common Stock,D,207050.0,0.0
2024-08-20,PLTR,"COHEN, STEPHEN ANDREW","Director, See Remarks",Class A Common Stock,D,177956.0,32.2484
2024-08-20,PLTR,"COHEN, STEPHEN ANDREW","Director, See Remarks",Class A Common Stock,A,178551.0,
2024-08-20,PLTR,"SANKAR, SHYAM",See Remarks,Class B Common Stock,D,86621.0,0.0
2024-08-20,PLTR,"SANKAR, SHYAM",See Remarks,Class B Common Stock,A,375000.0,0.0
2024-08-20,PLTR,"SANKAR, SHYAM",See Remarks,Restricted Stock Units,D,375000.0,0.0
2024-08-20,PLTR,"SANKAR, SHYAM",See Remarks,Class A Common Stock,D,289.0,32.666
2024-08-20,PLTR,"SANKAR, SHYAM",See Remarks,Class A Common Stock,D,86332.0,32.2484
2024-08-20,PLTR,"SANKAR, SHYAM",See Remarks,Class A Common Stock,A,86621.0,
2024-08-20,PLTR,"GLAZER, DAVID A.",See Remarks,Class A Common Stock,D,150.0,32.666
